,locus_tag,product
49,AFUA_1G03920,DNA replication licensing factor MCM3
50,AFUA_1G03950,C-22 sterol desaturase ERG5
51,AFUA_1G03970,Eukaryotic translation initiation factor 5B
52,AFUA_1G04040,Ubiquitin-ribosomal protein eL40A fusion protein
53,AFUA_1G04070,Eukaryotic translation initiation factor 5A
54,AFUA_1G04090,L-2-hydroxyglutarate dehydrogenase
55,AFUA_1G04120,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
56,AFUA_1G04190,"Polyadenylate-binding protein, cytoplasmic and nuclear"
57,AFUA_1G04320,Small ribosomal subunit protein eS8A
58,AFUA_1G04460,Lysine--tRNA ligase
59,AFUA_1G04470,Mitochondrial import inner membrane translocase subunit TIM10
60,AFUA_1G04530,Large ribosomal subunit protein eL20A
61,AFUA_1G04540,NADH-cytochrome b5 reductase 2
62,AFUA_1G04560,Urease
63,AFUA_1G04660,Large ribosomal subunit protein eL15
64,AFUA_1G04680,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
65,AFUA_1G04710,Cytoplasmic tRNA 2-thiolation protein 1
66,AFUA_1G04720,C-8 sterol isomerase ERG2
67,AFUA_1G04800,Protein phosphatase 1 regulatory subunit SDS22
68,AFUA_1G04820,NAD(P)H-dependent D-xylose reductase XYR1
69,AFUA_1G04850,"Dynein light chain, cytoplasmic"
70,AFUA_1G04890,Protein transport protein Sec61 subunit beta
71,AFUA_1G04900,Proliferating cell nuclear antigen
72,AFUA_1G04940,Small COPII coat GTPase SAR1
73,AFUA_1G04950,Serine/threonine-protein phosphatase PP1
74,AFUA_1G04970,Patatin-like phospholipase domain-containing protein
75,AFUA_1G05040,Mitochondrial protein import protein MAS5
76,AFUA_1G05050,Cytosine deaminase
77,AFUA_1G05060,Uroporphyrinogen decarboxylase
78,AFUA_1G05080,Large ribosomal subunit protein uL10
79,AFUA_1G05120,ER-derived vesicles protein ERV46
80,AFUA_1G05160,"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
81,AFUA_1G05180,N-terminal acetyltransferase B complex catalytic subunit NAA20
82,AFUA_1G05200,Eukaryotic translation initiation factor 3 subunit A
83,AFUA_1G05310,RNA cytidine acetyltransferase
84,AFUA_1G05340,Small ribosomal subunit protein eS19
85,AFUA_1G05390,"ADP,ATP carrier protein"
86,AFUA_1G05450,Peptidyl-prolyl cis-trans isomerase PIN4
87,AFUA_1G05500,Small ribosomal subunit protein eS12
88,AFUA_1G05560,Ribosome-interacting GTPase 1
89,AFUA_1G05570,Cysteine dioxygenase
90,AFUA_1G05610,Protein phosphatase PP2A regulatory subunit A
91,AFUA_1G05620,Phenylalanine--tRNA ligase beta subunit
92,AFUA_1G05630,Small ribosomal subunit protein uS3
93,AFUA_1G05700,Splicing factor 3B subunit 5
94,AFUA_1G05720,Delta(14)-sterol reductase ERG24B
95,AFUA_1G05800,MAP kinase kinae MKK2
96,AFUA_1G05830,TATA-binding protein-associated factor MOT1
97,AFUA_1G05990,Large ribosomal subunit protein uL13
98,AFUA_1G06030,AP-1 complex subunit gamma-1
99,AFUA_1G06100,Glutaredoxin
100,AFUA_1G06150,L-serine dehydratase
101,AFUA_1G06170,26S proteasome regulatory subunit 6A
102,AFUA_1G06190,Histone H4 arginine methyltransferase RmtA
103,AFUA_1G06210,Phosphoacetylglucosamine mutase
104,AFUA_1G06220,ATP-dependent rRNA helicase RRP3
105,AFUA_1G06230,Ribosome biogenesis protein SSF2
106,AFUA_1G06240,Riboflavin synthase
107,AFUA_1G06250,Succinyl-CoA:glutarate CoA-transferase
108,AFUA_1G06290,U3 small nucleolar RNA-associated protein SOF1
109,AFUA_1G06300,26S proteasome regulatory subunit RPN6
110,AFUA_1G06340,Large ribosomal subunit protein eL27
111,AFUA_1G06380,DNA-directed RNA polymerase III subunit RPC10
112,AFUA_1G06390,Elongation factor 1-alpha
113,AFUA_1G06400,Serine/threonine-protein kinase SCH9
114,AFUA_1G06410,Chromatin structure-remodeling complex subunit RSC7
115,AFUA_1G06420,Vacuolar-sorting protein SNF7
116,AFUA_1G06470,Neutral ceramidase
117,AFUA_1G06520,"Translation initiation factor IF-2, mitochondrial"
118,AFUA_1G06570,Small ribosomal subunit protein uS2m
119,AFUA_1G06610,"NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial"
120,AFUA_1G06630,Vacuolar protein sorting-associated protein 74
121,AFUA_1G06680,ADP-ribosylation factor-binding protein GGA2
122,AFUA_1G06690,18S rRNA aminocarboxypropyltransferase
123,AFUA_1G06700,Metacaspase CasA
124,AFUA_1G06710,T-complex protein 1 subunit eta
125,AFUA_1G06770,Small ribosomal subunit protein eS26
126,AFUA_1G06790,Importin subunit beta-3
127,AFUA_1G06810,"Aconitate hydratase, mitochondrial"
128,AFUA_1G06830,Large ribosomal subunit protein P1
129,AFUA_1G06860,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
130,AFUA_1G06890,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"
131,AFUA_1G06940,Chorismate synthase
132,AFUA_1G06960,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
133,AFUA_1G07010,Phosphatidate cytidylyltransferase
134,AFUA_1G07140,Delta(24(24(1)))-sterol reductase ERG4A
135,AFUA_1G07220,6-phosphofructo-2-kinase 1
136,AFUA_1G07380,Glutamate synthase [NADH]
137,AFUA_1G07440,Molecular chaperone Hsp70
138,AFUA_1G07470,Autophagy-related protein 8
139,AFUA_1G07480,Oxygen-dependent coproporphyrinogen-III oxidase
140,AFUA_1G07520,D-xylose 1-dehydrogenase (NADP(+))
141,AFUA_1G07530,Adenylate kinase
142,AFUA_1G07540,26S proteasome regulatory subunit RPN8
143,AFUA_1G07570,tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
144,AFUA_1G07640,"Protein adenylyltransferase SelO, mitochondrial"
145,AFUA_1G07680,Secretion related GTPase SrgD
146,AFUA_1G07690,Dolichyl-phosphate-mannose--protein mannosyltransferase 2
147,AFUA_1G07720,Transcription elongation complex subunit Cdc68
148,AFUA_1G07740,Phospholipid-transporting ATPase accessory subunit CDC50
149,AFUA_1G08760,Delta-aminolevulinic acid dehydratase
150,AFUA_1G08790,Exportin KapK
151,AFUA_1G08810,"Glycerol-3-phosphate dehydrogenase, mitochondrial"
152,AFUA_1G08840,Guanylate kinase
153,AFUA_1G08850,Septin
154,AFUA_1G08880,Copper chaperone ATX1
155,AFUA_1G08940,Pheromone processing carboxypeptidase KexA
156,AFUA_1G08950,Protein arginine N-methyltransferase SFM1
157,AFUA_1G08980,MYG1 exonuclease
158,AFUA_1G09010,"Methionine--tRNA ligase, cytoplasmic"
159,AFUA_1G09020,mRNA export factor GLE2
160,AFUA_1G09050,Phosphatidyl-N-methylethanolamine N-methyltransferase
161,AFUA_1G09100,Large ribosomal subunit protein uL6
162,AFUA_1G09200,Ribosome biogenesis protein ERB1
163,AFUA_1G09220,Vacuolar protein sorting-associated protein 20
164,AFUA_1G09240,ATP-dependent RNA helicase DHX35
165,AFUA_1G09280,Protein phosphatase 2C homolog 2
166,AFUA_1G09290,Choline-phosphate cytidylyltransferase
167,AFUA_1G09320,U3 small nucleolar RNA-associated protein 25
168,AFUA_1G09330,Eukaryotic translation initiation factor 3 subunit F
169,AFUA_1G09350,Transcription initiation factor TFIID subunit 13
170,AFUA_1G09380,Pre-mRNA-splicing factor CWC18
171,AFUA_1G09410,Large ribosomal subunit protein bL17m
172,AFUA_1G09440,Small ribosomal subunit protein uS12
173,AFUA_1G09470,Alanine--glyoxylate aminotransferase
174,AFUA_1G09480,Vacuolar protein sorting-associated protein 29
175,AFUA_1G09490,Polyadenylate-binding protein 3
176,AFUA_1G09500,E3 ubiquitin-protein ligase RSP5
177,AFUA_1G09540,Vacuolar transporter chaperone complex subunit 1
178,AFUA_1G09560,Target of rapamycin complex subunit LST8
179,AFUA_1G09600,N-terminal acetyltransferase A complex catalytic subunit ARD1
180,AFUA_1G09750,Aldo-keto reductase family 1 member A1
181,AFUA_1G09757,Cytochrome c oxidase assembly protein COX19
182,AFUA_1G09780,"Stomatin-like protein 2, mitochondrial"
183,AFUA_1G09790,Histone transcription regulator HIR1
184,AFUA_1G09800,GTP-binding protein YchF
185,AFUA_1G09810,Translation machinery-associated protein 20
186,AFUA_1G09830,Small glutamine-rich tetratricopeptide repeat-containing protein 2
187,AFUA_1G09840,Mitochondrial import inner membrane translocase subunit TIM44
188,AFUA_1G09850,Small ribosomal subunit protein uS11m
189,AFUA_1G09930,Glycerol 2-dehydrogenase (NADP(+))
190,AFUA_1G09950,Casein kinase II subunit beta-2
191,AFUA_1G10050,Pre-mRNA-processing ATP-dependent RNA helicase PRP5
192,AFUA_1G10130,Adenosylhomocysteinase
193,AFUA_1G10190,Pre-mRNA-processing factor 31
194,AFUA_1G10200,Pre-mRNA-splicing factor CLF1
195,AFUA_1G10270,Pyridoxal reductase
196,AFUA_1G10290,Chromo domain-containing protein 1
197,AFUA_1G10310,Translation initiation factor RLI1
198,AFUA_1G10350,Phosphoglycerate kinase
199,AFUA_1G10355,26S proteasome complex subunit SEM1
200,AFUA_1G10410,DNA repair protein RAD51
201,AFUA_1G10510,Large ribosomal subunit protein uL29
202,AFUA_1G10540,NAD-dependent histone deacetylase HST4
203,AFUA_1G10560,Nuclear GTP-binding protein NUG1
204,AFUA_1G10570,Glycerol-1-phosphate phosphohydrolase
205,AFUA_1G10630,S-adenosylmethionine synthase
206,AFUA_1G10640,GPN-loop GTPase 3
207,AFUA_1G10710,Pre-mRNA-splicing factor PRP46
208,AFUA_1G10720,Origin recognition complex subunit 1
209,AFUA_1G10740,Prefoldin subunit 5
210,AFUA_1G10750,Proline--tRNA ligase
211,AFUA_1G10760,Ribosome biogenesis protein MAK21
212,AFUA_1G10780,"Aminomethyltransferase, mitochondrial"
213,AFUA_1G10810,V-type proton ATPase subunit C
214,AFUA_1G10820,Adenylyl-sulfate kinase
215,AFUA_1G10830,"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial"
216,AFUA_1G10850,Ubiquitin-like protein SMT3
217,AFUA_1G10880,Calcium-transporting ATPase 2
218,AFUA_1G10910,Tubulin beta chain
219,AFUA_1G10940,MAP kinase kinase kinase SSK2
220,AFUA_1G10950,GID complex substrate-recognition subunit 4
221,AFUA_1G10960,Mago nashi domain protein
222,AFUA_1G10970,Coatomer subunit beta
223,AFUA_1G11080,Serine/threonine protein kinase KIN1
224,AFUA_1G11130,Large ribosomal subunit protein eL6
225,AFUA_1G11180,"Heat shock protein 78, mitochondrial"
226,AFUA_1G11190,Elongation factor 1-beta
227,AFUA_1G11230,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2
228,AFUA_1G11420,Protein SSD1
229,AFUA_1G11470,Endosomal protein P24B
230,AFUA_1G11610,3-dehydroquinate dehydratase QutE
231,AFUA_1G11670,U6 snRNA-associated Sm-like protein LSm8
232,AFUA_1G11710,Large ribosomal subunit protein uL1
233,AFUA_1G11730,ADP-ribosylation factor
234,AFUA_1G11770,Surfeit locus protein 4
235,AFUA_1G11870,Mitochondrial-processing peptidase subunit alpha
236,AFUA_1G11880,Acetoacetyl-CoA synthetase
237,AFUA_1G11890,Serine palmitoyltransferase 2
238,AFUA_1G11960,"External alternative NADH-ubiquinone oxidoreductase, mitochondrial"
239,AFUA_1G11970,"Dynamin-like GTPase MGM1, mitochondrial"
240,AFUA_1G11980,Glutamine amidotransferase DUG3
241,AFUA_1G12040,Chitin synthase export chaperone
242,AFUA_1G12070,Glycine cleavage system H protein
243,AFUA_1G12150,Nucleoside diphosphatase Gda1
244,AFUA_1G12170,"Elongation factor Tu, mitochondrial"
245,AFUA_1G12290,NADH-ubiquinone oxidoreductase 20.8 kDa subunit
246,AFUA_1G12332,DNA damage-responsive transcriptional repressor RPH1
247,AFUA_1G12340,"Carnitine O-palmitoyltransferase 2, mitochondrial"
248,AFUA_1G12530,Oleate hydroxylase
249,AFUA_1G12610,Hsp70 chaperone Hsp88
250,AFUA_1G12650,"3-ketoacyl-CoA thiolase, peroxisomal"
251,AFUA_1G12800,"Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial"
252,AFUA_1G12830,Nitrate reductase NiaD
253,AFUA_1G12890,Large ribosomal subunit protein uL18
254,AFUA_1G12920,Glycogen phosphorylase
255,AFUA_1G12930,G-protein complex alpha subunit GpaB
256,AFUA_1G12940,MAP kinase SakA
257,AFUA_1G12950,Late secretory pathway protein AVL9
258,AFUA_1G12960,Cullin-1
259,AFUA_1G13010,ATP-dependent helicase IRC5
260,AFUA_1G13020,Cytoskeletal adaptor protein SagA
261,AFUA_1G13060,Regulator of nonsense transcripts 1
262,AFUA_1G13070,U3 small nucleolar ribonucleoprotein protein IMP4
263,AFUA_1G13090,Multifunctional tryptophan biosynthesis protein
264,AFUA_1G13140,G-protein complex alpha subunit GpaA/FadA
265,AFUA_1G13195,MICOS complex subunit MIC10
266,AFUA_1G13280,Mannose-6-phosphate isomerase
267,AFUA_1G13300,GTP cyclohydrolase-2
268,AFUA_1G13330,Actin-related protein 2
269,AFUA_1G13390,Tubulin gamma chain
270,AFUA_1G13420,Serine/threonine-protein phosphatase 2A activator 2
271,AFUA_1G13470,Prohibitin-1
272,AFUA_1G13480,"Cytochrome b-c1 complex subunit 8, mitochondrial"
273,AFUA_1G13490,Spermidine synthase
274,AFUA_1G13500,Transketolase
275,AFUA_1G13540,GTP-binding protein
276,AFUA_1G13570,H/ACA ribonucleoprotein complex subunit NHP2
277,AFUA_1G13710,"Isoleucine--tRNA ligase, cytoplasmic"
278,AFUA_1G13730,5'-3' exoribonuclease Dhp1
279,AFUA_1G13740,Pentafunctional AROM polypeptide
280,AFUA_1G13780,histone H4.1
281,AFUA_1G13790,histone H3
282,AFUA_1G13870,"Alpha-1,2-mannosyltransferase ALG9"
283,AFUA_1G13890,U4/U6 small nuclear ribonucleoprotein PRP3
284,AFUA_1G13900,DNA-directed RNA polymerase I subunit RPA1
285,AFUA_1G13910,General transcription and DNA repair factor IIH helicase subunit XPD/RAD3
286,AFUA_1G14010,AP-2 complex subunit sigma
287,AFUA_1G14020,Diphthine methyl ester synthase
288,AFUA_1G14030,SAGA complex subunit SPT3
289,AFUA_1G14060,U4/U6.U5 small nuclear ribonucleoprotein component SNU23
290,AFUA_1G14090,Histidinol-phosphate aminotransferase
291,AFUA_1G14100,"Phosphatidate cytidylyltransferase, mitochondrial"
292,AFUA_1G14110,"DNA-directed RNA polymerases I, II, and III subunit RPABC1"
293,AFUA_1G14180,Multisite-specific tRNA:(cytosine-C(5))-methyltransferase
294,AFUA_1G14200,Mitochondrial-processing peptidase subunit beta
295,AFUA_1G14220,rRNA 2'-O-methyltransferase fibrillarin
296,AFUA_1G14270,"Catechol 1,2-dioxygenase"
297,AFUA_1G14290,U6 snRNA-associated Sm-like protein LSm7
298,AFUA_1G14310,PAN2-PAN3 deadenylation complex subunit PAN3
299,AFUA_1G14400,Glyoxylate reductase
300,AFUA_1G14410,Large ribosomal subunit protein uL22
301,AFUA_1G14550,"Superoxide dismutase [Mn], mitochondrial"
302,AFUA_1G14570,Histidine biosynthesis trifunctional protein
303,AFUA_1G14610,Phosphatidic acid phosphohydrolase
304,AFUA_1G14630,tRNA(His) guanylyltransferase
305,AFUA_1G14670,COMPASS component SWD1
306,AFUA_1G14680,DNA-directed RNA polymerase II subunit RPB1
307,AFUA_1G14710,Beta-glucosidase
308,AFUA_1G14730,APC/C activator protein CDC20
309,AFUA_1G14770,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]
310,AFUA_1G14850,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
311,AFUA_1G14910,Protein SSH4
312,AFUA_1G14970,ADP-ribosylation factor-like protein 2
313,AFUA_1G14990,ATP-dependent RNA helicase DRS1
314,AFUA_1G15000,2-isopropylmalate synthase
315,AFUA_1G15020,Small ribosomal subunit protein uS7
316,AFUA_1G15030,Protein SDA1
317,AFUA_1G15120,DNA repair and recombination protein RAD54B
318,AFUA_1G15130,GPI-anchor transamidase
319,AFUA_1G15170,Acyl-coenzyme A thioesterase II
320,AFUA_1G15270,Heat shock protein 104
321,AFUA_1G15340,Poly(A) polymerase Pap
322,AFUA_1G15390,Coiled-coil domain-containing protein 124
323,AFUA_1G15400,Peroxisomal targeting signal 2 receptor
324,AFUA_1G15440,"Alpha-1,3-glucan synthase Ags3"
325,AFUA_1G15450,Adenylosuccinate synthetase AdB
326,AFUA_1G15500,GTP-binding protein Obg
327,AFUA_1G15580,dTTP/UTP pyrophosphatase
328,AFUA_1G15590,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
329,AFUA_1G15720,Importin subunit beta-1
330,AFUA_1G15730,Small ribosomal subunit protein uS8
331,AFUA_1G15760,"Phosphatidylserine decarboxylase proenzyme 1, mitochondrial"
332,AFUA_1G15780,3-isopropylmalate dehydrogenase Leu2A
333,AFUA_1G15790,CDP-diacylglycerol-inositol 3-phosphatidyltransferase PIS
334,AFUA_1G15810,RNA-binding protein RSD1
335,AFUA_1G15820,Ceramide very long chain fatty acid hydroxylase SCS7
336,AFUA_1G15860,Coatomer subunit delta
337,AFUA_1G15920,Ubiquitin carboxyl-terminal hydrolase 2
338,AFUA_1G15950,MAP kinase kinase PBS2
339,AFUA_1G15960,Glutathione reductase
340,AFUA_1G16210,"Threonine--tRNA ligase, mitochondrial"
341,AFUA_1G16270,xylitol dehydrogenase XdhB
342,AFUA_1G16320,Vacuolar protein sorting-associated protein 28
343,AFUA_1G16380,Molybdenum cofactor biosynthesis protein
344,AFUA_1G16400,Beta-glucosidase
345,AFUA_1G16500,GTP-binding protein GTR2
346,AFUA_1G16523,Small ribosomal subunit protein eS25
347,AFUA_1G16550,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]
348,AFUA_1G16600,Ribonuclease T2
349,AFUA_1G16780,Dual specificity protein kinase LKH1
350,AFUA_1G16800,Endoribonuclease YSH1
351,AFUA_1G16820,Signal recognition particle SEC65 subunit
352,AFUA_1G16850,Sphingolipid C4-hydroxylase SUR2
353,AFUA_1G16950,Phosphatidylinositol:UDP-GlcNAc transferase subunit PIG-A
354,AFUA_1G16970,ADP-ribosylation factor family protein
355,AFUA_1G16990,Pre-mRNA-splicing factor 18
356,AFUA_1G17140,Voltage-gated potassium channel subunit beta
357,AFUA_1G17220,Polygalacturonase
358,AFUA_1G17410,Beta-glucosidase M
359,AFUA_2G00320,Delta(7)-sterol 5(6)-desaturase ERG3B
360,AFUA_2G01010,Inositol-3-phosphate synthase
361,AFUA_2G01030,1-aminocyclopropane-1-carboxylate deaminase
362,AFUA_2G01040,formaldehyde dehydrogenase
363,AFUA_2G01050,Mitochondrial import inner membrane translocase subunit TIM9
364,AFUA_2G01090,DNA polymerase alpha-associated DNA helicase A
365,AFUA_2G01120,Endonuclease III homolog
366,AFUA_2G01130,Ubiquitin-conjugating enzyme E2 PEX4
367,AFUA_2G01170,"1,3-beta-glucanosyltransferase Gel1"
368,AFUA_2G01210,ATP-dependent RNA helicase DBP5
369,AFUA_2G01220,GTP cyclohydrolase-2
370,AFUA_2G01320,Sodium/potassium exporting P-type ATPase
371,AFUA_2G01350,NAD(+) kinase
372,AFUA_2G01360,Free methionine-R-sulfoxide reductase
373,AFUA_2G01450,Mannan polymerase complexes subunit MNN9
374,AFUA_2G01550,Repressor of RNA polymerase III transcription MAF1
375,AFUA_2G01570,AP-1 complex subunit sigma-1
376,AFUA_2G01630,"Protein UPS1, mitochondrial"
377,AFUA_2G01640,"Tryptophan--tRNA ligase, cytoplasmic"
378,AFUA_2G01660,Mitochondrial import receptor subunit TOM70
379,AFUA_2G01750,Methionine aminopeptidase 2-1
380,AFUA_2G01870,Chitin synthase A
381,AFUA_2G01880,Low molecular weight phosphotyrosine protein phosphatase
382,AFUA_2G01890,"5-demethoxyubiquinone hydroxylase, mitochondrial"
383,AFUA_2G01920,Glutamine--tRNA ligase
384,AFUA_2G02020,Formamidase FmdS
385,AFUA_2G02050,Peptidyl-prolyl cis-trans isomerase D
386,AFUA_2G02060,D-aminoacyl-tRNA deacylase
387,AFUA_2G02100,"Dihydrolipoyl dehydrogenase, mitochondrial"
388,AFUA_2G02130,Delta 8-(E)-sphingolipid desaturase
389,AFUA_2G02150,Small ribosomal subunit protein uS10
390,AFUA_2G02170,Structural maintenance of chromosomes protein 4
391,AFUA_2G02220,Sterol 3-beta-glucosyltransferase
392,AFUA_2G02230,Prefoldin subunit 3
393,AFUA_2G02250,Allantoinase
394,AFUA_2G02270,Small ribosomal subunit protein uS14m
395,AFUA_2G02275,"ATP synthase subunit J, mitochondrial"
396,AFUA_2G02320,Ribosome-associated complex subunit SSZ1
397,AFUA_2G02430,Protein MGR2
398,AFUA_2G02510,Target of rapamycin complex 1 subunit KOG1
399,AFUA_2G02520,Kelch repeat-containing protein
400,AFUA_2G02530,Casein kinase I homolog
401,AFUA_2G02550,Phosducin-like protein
402,AFUA_2G02560,Coatomer subunit gamma
403,AFUA_2G02660,DNA topoisomerase 3
404,AFUA_2G02680,Mitochondrial inner membrane m-AAA protease component YTA12
405,AFUA_2G02700,Mitochondrial import inner membrane translocase subunit TIM14
406,AFUA_2G02710,Ribosome biogenesis protein RLP24
407,AFUA_2G02780,RNA-binding protein RNC1
408,AFUA_2G02820,Protein yippee-like
409,AFUA_2G02910,"Catechol 1,2-dioxygenase"
410,AFUA_2G02960,Protein DOM34
411,AFUA_2G02980,ER lumen protein-retaining receptor
412,AFUA_2G03010,"Cytochrome c oxidase subunit 4, mitochondrial"
413,AFUA_2G03030,Pre-mRNA-processing-splicing factor 8
414,AFUA_2G03040,Large ribosomal subunit protein eL34B
415,AFUA_2G03110,Alkaline phosphatase Pho8
416,AFUA_2G03140,Peptide methionine sulfoxide reductase
417,AFUA_2G03150,Kinesin-like protein KIP3
418,AFUA_2G03260,RNA-binding protein 8A
419,AFUA_2G03290,14-3-3 family protein ArtA
420,AFUA_2G03340,rRNA-processing protein FCF1
421,AFUA_2G03380,Large ribosomal subunit protein uL14
422,AFUA_2G03390,Histone deacetylase RpdA/Rpd3
423,AFUA_2G03400,Ubiquitin carboxyl-terminal hydrolase RPN11
424,AFUA_2G03420,Mitochondrial import inner membrane translocase subunit TIM50
425,AFUA_2G03490,Serine/threonine-protein kinase SRK1
426,AFUA_2G03560,Histidine protein kinase NIK1
427,AFUA_2G03580,Phenylalanine--tRNA ligase alpha subunit
428,AFUA_2G03590,Small ribosomal subunit protein eS21
429,AFUA_2G03610,Inosine-5'-monophosphate dehydrogenase
430,AFUA_2G03700,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1
431,AFUA_2G03720,Peptidyl-prolyl cis-trans isomerase
432,AFUA_2G03750,DNA repair and recombination protein RAD26
433,AFUA_2G03760,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
434,AFUA_2G03790,Oxysterol-binding protein
435,AFUA_2G03810,Histone deacetylase HosA
436,AFUA_2G03820,Carboxyvinyl-carboxyphosphonate phosphorylmutase
437,AFUA_2G03870,FK506-binding protein 2
438,AFUA_2G03920,G1/S-specific cyclin CCN1
439,AFUA_2G03950,Serine/threonine-protein phosphatase PpzA
440,AFUA_2G04000,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
441,AFUA_2G04010,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit"
442,AFUA_2G04130,Small ribosomal subunit protein uS17
443,AFUA_2G04200,4-hydroxyphenylpyruvate dioxygenase
444,AFUA_2G04220,"Homogentisate 1,2-dioxygenase"
445,AFUA_2G04230,Fumarylacetoacetate hydrolase FahA
446,AFUA_2G04270,Mitochondrial import inner membrane translocase subunit TIM17
447,AFUA_2G04310,Argininosuccinate synthase
448,AFUA_2G04430,Protein MAM3
449,AFUA_2G04490,D-3-phosphoglycerate dehydrogenase
450,AFUA_2G04520,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial"
451,AFUA_2G04620,Endoplasmic reticulum chaperone BiP
452,AFUA_2G04630,Elongation factor 1-alpha
453,AFUA_2G04670,Class E vacuolar protein-sorting machinery protein HSE1
454,AFUA_2G04680,Sexual development serine/threonine kinase PakA
455,AFUA_2G04710,Cytochrome b5
456,AFUA_2G04740,Vacuolar protein sorting-associated protein 27
457,AFUA_2G04780,Ribosome biogenesis protein ENP2
458,AFUA_2G04820,Eukaryotic peptide chain release factor GTP-binding subunit
459,AFUA_2G04870,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
460,AFUA_2G04910,Proteasome subunit beta type-2
461,AFUA_2G04970,Kelch repeat-containing protein 3
